[2024/08/21 09:10:15] - Namespace(batch_size=512, data_dir='../../cifar-data', epochs=80, lr_schedule='cyclic', lr_min=0.0, lr_max=0.2, weight_decay=0.0005, momentum=0.9, epsilon=8, attack_iters=7, restarts=1, alpha=2, delta_init='random', out_dir='tmp', seed=0, opt_level='O2', loss_scale='1.0', master_weights=False)
[2024/08/21 09:10:16] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2024/08/21 16:08:47] - 63 	 191.9 	 	 0.0800 	 0.0992 	 0.9670
[2024/08/21 16:11:59] - 64 	 191.8 	 	 0.0750 	 0.1003 	 0.9661
[2024/08/21 16:15:13] - 65 	 193.8 	 	 0.0700 	 0.0934 	 0.9694
[2024/08/21 16:18:27] - 66 	 194.6 	 	 0.0650 	 0.0844 	 0.9718
[2024/08/21 16:21:43] - 67 	 195.7 	 	 0.0600 	 0.0775 	 0.9738
[2024/08/21 16:25:00] - 68 	 197.0 	 	 0.0550 	 0.0642 	 0.9793
[2024/08/21 16:28:41] - 69 	 220.9 	 	 0.0500 	 0.0611 	 0.9801
[2024/08/21 16:32:11] - 70 	 210.2 	 	 0.0450 	 0.0554 	 0.9821
[2024/08/21 16:35:31] - 71 	 199.9 	 	 0.0400 	 0.0466 	 0.9854
[2024/08/21 16:39:45] - 72 	 253.6 	 	 0.0350 	 0.0382 	 0.9881
[2024/08/21 16:45:32] - 73 	 347.4 	 	 0.0300 	 0.0298 	 0.9913
[2024/08/21 16:52:21] - 74 	 408.8 	 	 0.0250 	 0.0194 	 0.9948
[2024/08/21 16:59:08] - 75 	 407.2 	 	 0.0200 	 0.0168 	 0.9952
[2024/08/21 17:04:31] - 76 	 323.3 	 	 0.0150 	 0.0109 	 0.9974
[2024/08/21 17:08:42] - 77 	 251.0 	 	 0.0100 	 0.0081 	 0.9983
[2024/08/21 17:13:42] - 78 	 299.3 	 	 0.0050 	 0.0068 	 0.9986
[2024/08/21 17:16:58] - 79 	 196.5 	 	 0.0000 	 0.0056 	 0.9991
[2024/08/21 17:16:58] - Total train time: 486.6942 minutes
[2024/08/21 17:21:37] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2024/08/21 17:21:37] - 0.5491 	 	 0.8973 	 8.8830 	 0.0001
